Year,Miles_Capita,Deaths_100K
1970,5432,26.8
1971,5557,26.3
1972,5876,26.9
1973,6106,26.3
1974,6030,21.8
1975,6086,21.3
1976,6303,21.6
1977,6523,22.5
1978,6769,23.6
1979,6877,23.8
1980,6683,23.4
1981,6686,22.4
1982,6739,19.8
1983,6937,19
1984,7134,19.6
1985,7325,19.3
1986,7516,19.9
1987,7775,19.9
1988,8080,20.1
1989,8381,19.3
1990,8535,18.8
1991,8500,17.3
1992,8618,16.1
1993,8738,16.3
1994,8828,16.3
1995,9025,16.5
1996,9069,16.5
1997,9264,16.2
1998,9387,16.1
1999,9486,15.5
2000,9666,15.8
2001,9706,15.4
2002,9827,15.8
2003,9866,15.4
2004,10009,15.3
2005,10070,15.3
2006,10049,15.2
2007,10022,14.6
2008,9858,13.1
2009,9629,11.8
2010,9543,11.4
2011,9490,11.3
2012,9446,11.6
2013,9407,11.2
2014,9415,11.1
2015,9544,11.8
2016,9713,12.5
2017,9825,12.4
2018,9873,12
2019,9916,11.9
2020,9519,12.9