Year,Budget,Troops
1960,47346552670,
1961,49879770605,
1962,54650942605,
1963,54561215775,
1964,53432327058,
1965,54561791263,
1966,66442751527,
1967,78398442241,
1968,84329031218,
1969,84990165431,
1970,83407993005,
1971,78237979893,
1972,80708070966,
1973,81469794408,
1974,89278920340,
1975,92080928754,
1976,94715251080,
1977,104665218972,
1978,113382063749,
1979,126879927117,
1980,143688354873,
1981,176558875271,
1982,221673542584,
1983,223427165006,
1984,245149168289,
1985,272163229313,2151600
1986,295546223804,
1987,304086648683,
1988,309661269301,
1989,321866558808,2240000
1990,325129313986,2180000
1991,299372779115,2120000
1992,325033735955,1920000
1993,316719443747,1820000
1994,308084000000,1720000
1995,295853097725,1635600
1996,287960668679,1572100
1997,293167825791,1533300
1998,290996055088,1594000
1999,298094891322,1575000
2000,320086324211,1454800
2001,331805610572,1420700
2002,378463138754,1467000
2003,440532069586,1480000
2004,492999376159,1473000
2005,533203000000,1546000
2006,558335000000,1498000
2007,589586000000,1555000
2008,656756000000,1540000
2009,705917000000,1563996
2010,738005000000,1569417
2011,752288000000,1520100
2012,725205000000,1492200
2013,679229000000,1433150
2014,647789000000,1381250
2015,633829639000,1347300
2016,639856443000,1348400
2017,646752927000,1359000
2018,682491400000,1379800
2019,734344100000,1388000
2020,778232200000,